"**Transfer**"
"Stored Print Storage SOP Class", "Yes", "Yes"
"Hardcopy Grayscale Image Storage SOP Class", "Yes", "Yes"
"Hardcopy Color Image Storage SOP Class", "Yes", "Yes"
"Computed Radiography Image Storage", "Yes", "Yes"
"Digital X-Ray Image Storage - For Presentation", "Yes", "Yes"
"Digital X-Ray Image Storage - For Processing", "Yes", "Yes"
"Digital Mammography X-Ray Image Storage - For Presentation", "Yes", "Yes"
"Digital Mammography X-Ray Image Storage - For Processing", "Yes", "Yes"
"Digital Intra-Oral X-Ray Image Storage - For Presentation", "Yes", "Yes"
"Digital Intra-Oral X-Ray Image Storage - For Processing", "Yes", "Yes"
"CT Image Storage", "Yes", "Yes"
"Enhanced CT Image Storage", "Yes", "Yes"
"Legacy Converted Enhanced CT Image Storage", "Yes", "Yes"
"Ultrasound Multi-frame Image Storage (Retired)", "Yes", "Yes"
"Ultrasound Multi-frame Image Storage", "Yes", "Yes"
"MR Image Storage", "Yes", "Yes"
"Enhanced MR Image Storage", "Yes", "Yes"
"MR Spectroscopy Storage", "Yes", "Yes"
"Enhanced MR Color Image Storage", "Yes", "Yes"
"Legacy Converted Enhanced MR Image Storage", "Yes", "Yes"
"Nuclear Medicine Image Storage (Retired)", "Yes", "Yes"
"Ultrasound Image Storage (Retired)", "Yes", "Yes"
"Ultrasound Image Storage", "Yes", "Yes"
"Enhanced US Volume Storage", "Yes", "Yes"
"Secondary Capture Image Storage", "Yes", "Yes"
"Multi-frame Single Bit Secondary Capture Image Storage", "Yes", "Yes"
"Multi-frame Grayscale Byte Secondary Capture Image Storage", "Yes", "Yes"
"Multi-frame Grayscale Word Secondary Capture Image Storage", "Yes", "Yes"
"Multi-frame True Color Secondary Capture Image Storage", "Yes", "Yes"
"12-lead ECG Waveform Storage", "Yes", "Yes"
"General ECG Waveform Storage", "Yes", "Yes"
"Ambulatory ECG Waveform Storage", "Yes", "Yes"
"Hemodynamic Waveform Storage", "Yes", "Yes"
"Cardiac Electrophysiology Waveform Storage", "Yes", "Yes"
"Basic Voice Audio Waveform Storage", "Yes", "Yes"
"General Audio Waveform Storage", "Yes", "Yes"
"Arterial Pulse Waveform Storage", "Yes", "Yes"
"Respiratory Waveform Storage", "Yes", "Yes"
"Grayscale Softcopy Presentation State Storage SOP Class", "Yes", "Yes"
"Color Softcopy Presentation State Storage SOP Class", "Yes", "Yes"
"Pseudo-Color Softcopy Presentation State Storage SOP Class", "Yes", "Yes"
"Blending Softcopy Presentation State Storage SOP Class", "Yes", "Yes"
"XA/XRF Grayscale Softcopy Presentation State Storage", "Yes", "Yes"
"X-Ray Angiographic Image Storage", "Yes", "Yes"
"Enhanced XA Image Storage", "Yes", "Yes"
"X-Ray Radiofluoroscopic Image Storage", "Yes", "Yes"
"Enhanced XRF Image Storage", "Yes", "Yes"
"X-Ray Angiographic Bi-Plane Image Storage (Retired)", "Yes", "Yes"
"X-Ray 3D Angiographic Image Storage", "Yes", "Yes"
"X-Ray 3D Craniofacial Image Storage", "Yes", "Yes"
"Breast Tomosynthesis Image Storage", "Yes", "Yes"
"Breast Projection X-Ray Image Storage - For Presentation", "Yes", "Yes"
"Breast Projection X-Ray Image Storage - For Processing", "Yes", "Yes"
"Intravascular Optical Coherence Tomography Image Storage - For Presentation", "Yes", "Yes"
"Intravascular Optical Coherence Tomography Image Storage - For Processing", "Yes", "Yes"
"Nuclear Medicine Image Storage", "Yes", "Yes"
"Parametric Map Storage", "Yes", "Yes"
"Raw Data Storage", "Yes", "Yes"
"Spatial Registration Storage", "Yes", "Yes"
"Spatial Fiducials Storage", "Yes", "Yes"
"Deformable Spatial Registration Storage", "Yes", "Yes"
"Segmentation Storage", "Yes", "Yes"
"Surface Segmentation Storage", "Yes", "Yes"
"Real World Value Mapping Storage", "Yes", "Yes"
"Surface Scan Mesh Storage", "Yes", "Yes"
"Surface Scan Point Cloud Storage", "Yes", "Yes"
"VL Endoscopic Image Storage", "Yes", "Yes"
"Video Endoscopic Image Storage", "Yes", "Yes"
"VL Microscopic Image Storage", "Yes", "Yes"
"Video Microscopic Image Storage", "Yes", "Yes"
"VL Slide-Coordinates Microscopic Image Storage", "Yes", "Yes"
"VL Photographic Image Storage", "Yes", "Yes"
"Video Photographic Image Storage", "Yes", "Yes"
"Ophthalmic Photography 8 Bit Image Storage", "Yes", "Yes"
"Ophthalmic Photography 16 Bit Image Storage", "Yes", "Yes"
"Stereometric Relationship Storage", "Yes", "Yes"
"Ophthalmic Tomography Image Storage", "Yes", "Yes"
"Wide Field Ophthalmic Photography Stereographic Projection Image Storage", "Yes", "Yes"
"Wide Field Ophthalmic Photography 3D Coordinates Image Storage", "Yes", "Yes"
"VL Whole Slide Microscopy Image Storage", "Yes", "Yes"
"Lensometry Measurements Storage", "Yes", "Yes"
"Autorefraction Measurements Storage", "Yes", "Yes"
"Keratometry Measurements Storage", "Yes", "Yes"
"Subjective Refraction Measurements Storage", "Yes", "Yes"
"Visual Acuity Measurements Storage", "Yes", "Yes"
"Spectacle Prescription Report Storage", "Yes", "Yes"
"Ophthalmic Axial Measurements Storage", "Yes", "Yes"
"Intraocular Lens Calculations Storage", "Yes", "Yes"
