"DA", "19991111", "Series Date (0008,0021)"
"", "", "Content Date (0008,0023)"
"DT", "19991111111111", "Acquisition Date Time (0008,002A)"
"", "", "Start Acquisition Date Time (0018,9516)"
"", "", "End Acquisition Date Time (0018,9517)"
"", "", "Verification Date Time (0040,A030)"
"TM", "111111", "Series Time (0008,0031)"
"", "", "Content Time (0008,0033)"
"LO", "REMOVED", "Acquisition Device Processing Description (0018,1400)"
"", "", "Contrast Bolus Agent (0018,0010)"
"", "", "Protocol Name (0018,1030)"
"", "", "Verifying Organization (0040,A027)"
"", "", "Device Serial Number (0018,1000)"
"", "", "Institution Name (0008,0080)"
"SH", "REMOVED", "Detector ID (0018,700A)"
"", "", "Station Name (0008,1010)"
"UI", "REMOVED", "Dose Reference UID (300A,0013)"
"PN", "REMOVED", "Operators Name (0008,1070)"
"", "", "Person Name (0040,A123)"
"", "", "Verifying Observer Name (0040,A075)"
"IS", "0", ""
"DS", "0", ""
