"SERIES Level"
"Modality", "00080060", "S,*,U"
"SeriesDescription", "0008103E", "NONE"
"SeriesInstanceUID", "0020000E", "UNIQUE"
"SeriesNumber", "00200011", "S,*,U"
"NumberOfSeriesRelatedInstances", "00201209", "NONE"
"PerformedProcedureStepStartDate", "00400244", "S,*,U,R"
"PerformedProcedureStepStartTime", "00400245", "S,*,U,R"
"RequestAttributeSequence", "00400275", "SEQUENCE"
">ScheduledProcedureStepID", "00400009", "S,*,U"
">RequestedProcedureID", "00401001", "S,*,U"
"Common to all query levels"
"InstanceAvailability", "00080056", "S,*,U"
"SpecificCharacterSet", "00080005", "NONE"
"RetrieveURL", "00081190", "NONE"
