"STUDY Level"
"StudyDate", "00080020", "S,*,U,R"
"StudyTime", "00080030", "S,*,U,R"
"AccessionNumber", "00080050", "S,*,U"
"ModalitiesInStudy", "00080061", "S,*,U"
"ReferringPhysiciansName", "00080090", "S,*,U"
"StudyDescription", "00081030", "S,*,U"
"PhysicianOfRecord", "00081048", "U"
"PatientsName", "00100010", "S,*,U"
"PatientID", "00100020", "S,*,U"
"PatientBirthDate", "00100030", "NONE"
"PatientSex", "00100040", "NONE"
"StudyInstanceUID", "0020000D", "UNIQUE"
"StudyID", "00200010", "S,*,U"
"NumberOfStudyRelatedSeries", "00201206", "NONE"
"NumberOfStudyRelatedInstances", "00201208", "NONE"
"RetrieveURL", "00081190", "NONE"
"Common to all query levels"
"InstanceAvailability", "00080056", "S,*,U"
"SpecificCharacterSet", "00080005", "NONE"
"RetrieveURL", "00081190", "NONE"
