"Patient Name", "00100010", "S,*,U", "S,*,U"
"Patient ID", "00100020", "S,*,U", "S,*,U"
"Patient Birth Date", "00100030", "S,*,U,R", "S,*,U,R"
"Patient Sex", "00100040", "S,*,U", "S,*,U"
"Issuer of Patient ID", "00100021", "S,*,U", "S,*,U"
"Issuer of Patient ID Qualifier Sequence", "00100024", "", "NONE"
"Patient Birth Time", "00100032", "", "NONE"
"Patient Insurance Plan Code Sequence", "00100050", "", "NONE"
"Patient Primary Language Code Sequence", "00100101", "", "NONE"
"Other Patient Names", "00101001", "", "NONE"
"Other Patient IDs Sequence", "00101002", "", "NONE"
"Patient Birth Name", "00101005", "", "NONE"
"Patient Address", "00101040", "", "NONE"
"Patient Mother Birth Name", "00101060", "", "NONE"
"Military Rank", "00101080", "", "NONE"
"Branch of Service", "00101081", "", "NONE"
"Medical Record Locator", "00101090", "", "NONE"
"Medical Alerts", "00102000", "", "NONE"
"Allergies", "00102110", "", "NONE"
"Country of Residence", "00102150", "", "NONE"
"Region of Residence", "00102152", "", "NONE"
"Patient Telephone Numbers", "00102154", "", "NONE"
"Ethnic Group", "00102160", "", "NONE"
"Smoking Status", "001021A0", "", "NONE"
"Pregnancy Status", "001021C0", "", "NONE"
"Last Menstrual Date", "001021D0", "", "NONE"
"Patient Religious Preference", "001021F0", "", "NONE"
"Patient Species Description", "00102201", "", "NONE"
"Patient Species Code Sequence", "00102202", "", "NONE"
"Patient Breed Description", "00102292", "", "NONE"
"Patient Breed Code Sequence", "00102293", "", "NONE"
"Breed Registration Sequence", "00102294", "", "NONE"
"Responsible Person", "00102297", "", "NONE"
"Responsible Person Role", "00102298", "", "NONE"
"Responsible Organization", "00102299", "", "NONE"
"Patient Comments", "00104000", "", "NONE"
"Clinical Trial Sponsor Name", "00120010", "", "NONE"
"Clinical Trial Protocol ID", "00120020", "", "NONE"
"Clinical Trial Protocol Name", "00120021", "", "NONE"
"Clinical Trial Site ID", "00120030", "", "NONE"
"Clinical Trial Site Name", "00120031", "", "NONE"
"Clinical Trial Subject ID", "00120040", "", "NONE"
"Clinical Trial Subject Reading ID", "00120042", "", "NONE"
"Patient Identity Removed", "00120062", "", "NONE"
"Deidentification Method", "00120063", "", "NONE"
"Deidentification Method Code Sequence", "00120064", "", "NONE"
"Clinical Trial Protocol Ethics Committee Name", "00120081", "", "NONE"
"Clinical Trial Protocol Ethics Committee Approval Number", "00120082", "", "NONE"
"Special Needs", "00380050", "", "NONE"
"Pertinent Documents Sequence", "00380100", "", "NONE"
"Patient State", "00380500", "", "NONE"
"Patient Clinical Trial Participation Sequence", "00380502", "", "NONE"
"Confidentiality Constraint On Patient Data Description", "00403001", "", "NONE"
"Specific Character Set", "00080005", "", "NONE"
"Retrieve URL", "00081190", "", "NONE"
"Retrieve AE Title", "00080054", "", "NONE"
"Instance Availability", "00080056", "", "NONE"
