"SOP Common"
"Specific Character Set", "0008,0005", "CS", "NONE"
"Timezone Offset From UTC", "0008,0201", "SH", "NONE"
"Patient Level"
"Patient's Name", "0010,0010", "PN", "S,*,U"
"Patient ID", "0010,0020", "LO", "S,*,U"
"Issuer of Patient ID", "0010,0021", "LO", "S,*,U"
"Issuer of Patient ID Sequence", "0010,0024", "SQ", "SQ,*,U"
"Patient's Birth Date", "0010,0030", "DA", "S,*,U,R"
"Patient's Sex", "0010,0040", "CS", "S,*,U,M"
"Patient's Birth Time", "0010,0032", "TM", "NONE"
"Other Patient IDs Sequence", "0010,1002", "SQ", "NONE"
"Other Patient Names", "0010,1001", "PN", "NONE"
"Patient's Birth Date in Alternative Calendar", "0010,0033", "LO", "NONE"
"Patient's Death Date in Alternative Calendar", "0010,0034", "LO", "NONE"
"Patient's Alternative Calendar", "0010,0035", "CS", "NONE"
"Patient's Insurance Plan Code Sequence", "0010,0050", "SQ", "NONE"
"Patient's Primary Language Code Sequence", "0010,0101", "SQ", "NONE"
"Quality Control Subject", "0010,0200", "CS", "NONE"
"Strain Description", "0010,0212", "UC", "NONE"
"Strain Nomenclature", "0010,0213", "LO", "NONE"
"Strain Stock Sequence", "0010,0216", "SQ", "NONE"
"Strain Additional Information", "0010,0218", "UT", "NONE"
"Strain Code Sequence", "0010,0219", "SQ", "NONE"
"Genetic Modifications Code Sequence", "0010,0229", "SQ", "NONE"
"Patient's Birth Name", "0010,1005", "PN", "NONE"
"Patient's Address", "0010,1040", "LO", "NONE"
"Patient's Mother's Birth Name", "0010,1060", "PN", "NONE"
"Military Rank", "0010,1080", "LO", "NONE"
"Branch of Service", "0010,1081", "LO", "NONE"
"Medical Record Locator (retired)", "0010,1090", "LO", "NONE"
"Country of Residence", "0010,2150", "LO", "NONE"
"Region of Residence", "0010,2152", "LO", "NONE"
"Patient's Telephone Numbers", "0010,2154", "SH", "NONE"
"Patient's Telecom Information", "0010,2155", "LT", "NONE"
"Ethnic Group", "0010,2160", "SH", "NONE"
"Patient's Religious Preference", "0010,21F0", "LO", "NONE"
"Patient Species Description", "0010,2201", "LO", "NONE"
"Patient Species Code Sequence", "0010,2202", "SQ", "NONE"
"Patient Breed Description", "0010,2292", "LO", "NONE"
"Patient Breed Code Sequence", "0010,2293", "SQ", "NONE"
"Breed Registration Sequence", "0010,2294", "SQ", "NONE"
"Responsible Person", "0010,2297", "PN", "NONE"
"Responsible Person Role", "0010,2298", "CS", "NONE"
"Responsible Organization", "0010,2299", "LO", "NONE"
"Patient Comments", "0010,4000", "LT", "NONE"
"Clinical Trial Sponsor Name", "0012,0010", "LO", "NONE"
"Clinical Trial Protocol ID", "0012,0020", "LO", "NONE"
"Clinical Trial Protocol Name", "0012,0021", "LO", "NONE"
"Clinical Trial Site ID", "0012,0030", "LO", "NONE"
"Clinical Trial Site Name", "0012,0031", "LO", "NONE"
"Clinical Trial Subject ID", "0012,0040", "LO", "NONE"
"Clinical Trial Subject Reading ID", "0012,0042", "LO", "NONE"
"Patient Identity Removed", "0012,0062", "CS", "NONE"
"De-identification Method", "0012,0063", "LO", "NONE"
"De-identification Method Code Sequence", "0012,0064", "SQ", "NONE"
"Clinical Trial Protocol Ethics Committee Name", "0012,0081", "LO", "NONE"
"Clinical Trial Protocol Ethics Committee Approval Number", "0012,0082", "LO", "NONE"
"Special Needs", "0038,0050", "LO", "NONE"
"Pertinent Documents Sequence", "0038,0100", "SQ", "NONE"
"Patient Clinical Trial Participation Sequence", "0038,0502", "SQ", "NONE"
"Confidentiality Constraint on Patient Data Description", "0040,3001", "LO", "NONE"
"MPPS Level"
"SOP Instance UID", "0008,0018", "UI", "S,*,U,L"
"Performed Procedure Step Start Date", "0040,0244", "DA", "S,*,U,R"
"Performed Procedure Step Start Time", "0040,0245", "TM", "U,R"
"Performed Procedure Step Status", "0040,0252", "CS", "S,*,U,M"
"Scheduled Step Attribute Sequence", "0008,1041", "SQ", "SQ,*,U"
"Modality", "0008,0060", "CS", "NONE"
"Procedure Code Sequence", "0008,1032", "SQ", "NONE"
"Anatomic Structure, Space or Region Sequence", "0008,2229", "SQ", "NONE"
"Distance Source to Detector", "0018,1110", "DS", "NONE"
"Image and Fluoroscopy Area Dose Product", "0018,115E", "DS", "NONE"
"Study ID", "0020,0010", "SH", "NONE"
"Admission ID", "0038,0010", "LO", "NONE"
"Issuer of Admission ID Sequence", "0038,0014", "SQ", "NONE"
"Service Episode ID", "0038,0060", "LO", "NONE"
"Service Episode Description", "0038,0062", "LO", "NONE"
"Issuer of Service Episode ID Sequence", "0038,0064", "SQ", "NONE"
"Performed Station AE Title", "0040,0241", "AE", "NONE"
"Performed Station Name", "0040,0242", "SH", "NONE"
"Performed Station Location", "0040,0243", "SH", "NONE"
"Performed Procedure Step End Date", "0040,0250", "DA", "NONE"
"Performed Procedure Step End Time", "0040,0251", "TM", "NONE"
"Performed Procedure Step ID", "0040,0253", "SH", "NONE"
"Performed Procedure Step Description", "0040,0254", "LO", "NONE"
"Performed Procedure Type Description", "0040,0255", "LO", "NONE"
"Performed Protocol Code Sequence", "0040,0260", "SQ", "NONE"
"Comments on the Performed Procedure Step", "0040,0280", "ST", "NONE"
"Performed Procedure Step Discontinuation Reason Code Sequence", "0040,0281", "SQ", "NONE"
"Total Time of Fluoroscopy (retired)", "0040,0300", "US", "NONE"
"Total Number of Exposures (retired)", "0040,0301", "US", "NONE"
"Entrance Dose", "0040,0302", "US", "NONE"
"Exposed Area", "0040,0303", "US", "NONE"
"Distance Source to Entrance", "0040,0306", "DS", "NONE"
"Exposure Dose Sequence (retired)", "0040,030E", "SQ", "NONE"
"Comments on Radiation Dose", "0040,0310", "ST", "NONE"
"Billing Procedure Step Sequence", "0040,0320", "SQ", "NONE"
"Film Consumption Sequence", "0040,0321", "SQ", "NONE"
"Billing Supplies and Devices Sequence", "0040,0324", "SQ", "NONE"
"Performed Series Sequence", "0040,0340", "SQ", "NONE"
"Reason For Performed Procedure Code Sequence", "0040,1012", "SQ", "NONE"
"Entrance Dose in mGy", "0040,8302", "DS", "NONE"
