"SOP Common"
"Specific Character Set", "0008,0005", "CS", "NONE"
"Timezone Offset From UTC", "0008,0201", "SH", "NONE"
"Patient Level"
"Patient's Name", "0010,0010", "PN", "S,*,U"
"Patient ID", "0010,0020", "LO", "S,*,U"
"Issuer of Patient ID", "0010,0021", "LO", "S,*,U"
"Issuer of Patient ID Sequence", "0010,0024", "SQ", "SQ,*,U"
"Patient's Birth Date", "0010,0030", "DA", "S,*,U,R"
"Patient's Sex", "0010,0040", "CS", "S,*,U,M"
"Patient's Birth Time", "0010,0032", "TM", "NONE"
"Other Patient IDs Sequence", "0010,1002", "SQ", "NONE"
"Other Patient Names", "0010,1001", "PN", "NONE"
"Patient's Birth Date in Alternative Calendar", "0010,0033", "LO", "NONE"
"Patient's Death Date in Alternative Calendar", "0010,0034", "LO", "NONE"
"Patient's Alternative Calendar", "0010,0035", "CS", "NONE"
"Patient's Insurance Plan Code Sequence", "0010,0050", "SQ", "NONE"
"Patient's Primary Language Code Sequence", "0010,0101", "SQ", "NONE"
"Quality Control Subject", "0010,0200", "CS", "NONE"
"Strain Description", "0010,0212", "UC", "NONE"
"Strain Nomenclature", "0010,0213", "LO", "NONE"
"Strain Stock Sequence", "0010,0216", "SQ", "NONE"
"Strain Additional Information", "0010,0218", "UT", "NONE"
"Strain Code Sequence", "0010,0219", "SQ", "NONE"
"Genetic Modifications Code Sequence", "0010,0229", "SQ", "NONE"
"Patient's Birth Name", "0010,1005", "PN", "NONE"
"Patient's Address", "0010,1040", "LO", "NONE"
"Patient's Mother's Birth Name", "0010,1060", "PN", "NONE"
"Military Rank", "0010,1080", "LO", "NONE"
"Branch of Service", "0010,1081", "LO", "NONE"
"Medical Record Locator (retired)", "0010,1090", "LO", "NONE"
"Country of Residence", "0010,2150", "LO", "NONE"
"Region of Residence", "0010,2152", "LO", "NONE"
"Patient's Telephone Numbers", "0010,2154", "SH", "NONE"
"Patient's Telecom Information", "0010,2155", "LT", "NONE"
"Ethnic Group", "0010,2160", "SH", "NONE"
"Patient's Religious Preference", "0010,21F0", "LO", "NONE"
"Patient Species Description", "0010,2201", "LO", "NONE"
"Patient Species Code Sequence", "0010,2202", "SQ", "NONE"
"Patient Breed Description", "0010,2292", "LO", "NONE"
"Patient Breed Code Sequence", "0010,2293", "SQ", "NONE"
"Breed Registration Sequence", "0010,2294", "SQ", "NONE"
"Responsible Person", "0010,2297", "PN", "NONE"
"Responsible Person Role", "0010,2298", "CS", "NONE"
"Responsible Organization", "0010,2299", "LO", "NONE"
"Patient Comments", "0010,4000", "LT", "NONE"
"Clinical Trial Sponsor Name", "0012,0010", "LO", "NONE"
"Clinical Trial Protocol ID", "0012,0020", "LO", "NONE"
"Clinical Trial Protocol Name", "0012,0021", "LO", "NONE"
"Clinical Trial Site ID", "0012,0030", "LO", "NONE"
"Clinical Trial Site Name", "0012,0031", "LO", "NONE"
"Clinical Trial Subject ID", "0012,0040", "LO", "NONE"
"Clinical Trial Subject Reading ID", "0012,0042", "LO", "NONE"
"Patient Identity Removed", "0012,0062", "CS", "NONE"
"De-identification Method", "0012,0063", "LO", "NONE"
"De-identification Method Code Sequence", "0012,0064", "SQ", "NONE"
"Clinical Trial Protocol Ethics Committee Name", "0012,0081", "LO", "NONE"
"Clinical Trial Protocol Ethics Committee Approval Number", "0012,0082", "LO", "NONE"
"Special Needs", "0038,0050", "LO", "NONE"
"Pertinent Documents Sequence", "0038,0100", "SQ", "NONE"
"Patient Clinical Trial Participation Sequence", "0038,0502", "SQ", "NONE"
"Confidentiality Constraint on Patient Data Description", "0040,3001", "LO", "NONE"
"MWL Level"
"Study Instance UID", "0020,000D", "SH", "S,U,L"
"Accession Number", "0008,0050", "SH", "S,*,U"
"Issuer of Accession Number Sequence", "0008,0051", "SQ", "SQ,*,U"
"Requested Procedure ID", "0040,1001", "SH", "S,*,U,M"
"Admission ID", "0038,0010", "LO", "S,*,U"
"Issuer of Admission ID Sequence", "0038,0014", "SQ", "SQ,*,U"
"Scheduled Procedure Step Sequence", "0040,0100", "SQ", "SQ"
"Institutional Department Name", "0008,1040", "LO", "S,*,U,M"
"Institution Name", "0008,0080", "LO", "S,*,U,M"
"Institutional Department Type Code Sequence", "0008,1041", "SQ", "SQ,*,U"
"Institution Code Sequence", "0008,0082", "SQ", "SQ,*,U"
"Study Date", "0008,0020", "DA", "NONE"
"Study Time", "0008,0030", "TM", "NONE"
"Institution Address", "0008,0081", "ST", "NONE"
"Referring Physician's Name", "0008,0090", "PN", "NONE"
"Referring Physician's Address", "0008,0092", "ST", "NONE"
"Referring Physician's Telephone Numbers", "0008,0094", "SH", "NONE"
"Referring Physician Identification Sequence", "0008,0096", "SQ", "NONE"
"Consulting Physician's Name", "0008,009C", "PN", "NONE"
"Consulting Physician Identification Sequence", "0008,009D", "SQ", "NONE"
"Admitting Diagnoses Description", "0008,1080", "LO", "NONE"
"Admitting Diagnoses Code Sequence", "0008,1084", "SQ", "NONE"
"Referenced Study Sequence", "0008,1110", "SQ", "NONE"
"Referenced Patient Sequence", "0008,1120", "SQ", "NONE"
"Patient's Age", "0010,1010", "AS", "NONE"
"Patient's Size", "0010,1020", "DS", "NONE"
"Patient's Size Code Sequence", "0010,1021", "SQ", "NONE"
"Patient's Weight", "0010,1030", "DS", "NONE"
"Patient's Body Mass Index", "0010,1022", "DS", "NONE"
"Measured AP Dimension", "0010,1023", "DS", "NONE"
"Measured Lateral Dimension", "0010,1024", "DS", "NONE"
"Occupation", "0010,2180", "SH", "NONE"
"Additional Patient History", "0010,21B0", "LT", "NONE"
"Patient's Sex Neutered", "0010,2203", "CS", "NONE"
"Medical Alerts", "0010,2000", "LO", "NONE"
"Allergies", "0010,2110", "LO", "NONE"
"Smoking Status", "0010,21A0", "CS", "NONE"
"Pregnancy Status", "0010,21C0", "US", "NONE"
"Last Menstrual Date", "0010,21D0", "DA", "NONE"
"Requesting Physician Identification Sequence", "0032,1031", "SQ", "NONE"
"Requesting Physician", "0032,1032", "PN", "NONE"
"Requesting Physician Code Sequence", "0032,1034", "SQ", "NONE"
"Visit Status ID", "0038,0008", "CS", "NONE"
"Route of Admissions", "0038,0016", "LO", "NONE"
"Admitting Date", "0038,0020", "DA", "NONE"
"Admitting Time", "0038,0021", "TM", "NONE"
"Reason for Visit", "0032,1066", "UT", "NONE"
"Reason for Visit Code Sequence", "0032,1067", "SQ", "NONE"
"Service Episode ID", "0038,0060", "LO", "NONE"
"Service Episode Description", "0038,0062", "LO", "NONE"
"Issuer of Service Episode ID Sequence", "0038,0064", "SQ", "NONE"
"Current Patient Location", "0038,0300", "LO", "NONE"
"Patient's Institution Residence", "0038,0400", "LO", "NONE"
"Patient State", "0038,0500", "LO", "NONE"
"Visit Comments", "0038,4000", "LT", "NONE"
"Reason for the Requested Procedure", "0040,1002", "LO", "NONE"
"Requested Procedure Priority", "0040,1003", "SH", "NONE"
"Patient Transport Arrangements", "0040,1004", "LO", "NONE"
"Requested Procedure Location", "0040,1005", "LO", "NONE"
"Confidentiality Code", "0040,1008", "LO", "NONE"
"Reporting Priority", "0040,1009", "LO", "NONE"
"Names of Intended Recipients of Results", "0040,1010", "PN", "NONE"
"Reason for Requested Procedure Code Sequence", "0040,100A", "SQ", "NONE"
"Intended Recipients of Results Identification Sequence", "0040,1011", "SQ", "NONE"
"Order Placer Identifier Sequence", "0040,0026", "SQ", "NONE"
"Order Filler Identifier Sequence", "0040,0027", "SQ", "NONE"
"Requested Procedure Comments", "0040,1400", "LT", "NONE"
"Issue Date of Imaging Service Request", "0040,2004", "DA", "NONE"
"Issue Time of Imaging Service Request", "0040,2005", "TM", "NONE"
"Order Entered By", "0040,2008", "PN", "NONE"
"Order Enterer's Location", "0040,2009", "SH", "NONE"
"Order Callback Phone Number", "0040,2010", "SH", "NONE"
"Order Callback Telecom Information", "0040,2011", "LT", "NONE"
"Placer Order Number / Imaging Service Request", "0040,2016", "LO", "NONE"
"Filler Order Number / Imaging Service Request", "0040,2017", "LO", "NONE"
"Imaging Service Request Comments", "0040,2400", "LT", "NONE"
"Study Status ID (retired)", "0032,000A", "CS", "NONE"
