"SOP Common"
"Specific Character Set", "0008,0005", "CS", "NONE"
"Timezone Offset From UTC", "0008,0201", "SH", "NONE"
"Study Level"
"Patient's Name", "0010,0010", "PN", "S,*,U"
"Patient ID", "0010,0020", "LO", "S,*,U"
"Issuer of Patient ID", "0010,0021", "LO", "S,*,U"
"Issuer of Patient ID Sequence", "0010,0024", "SQ", "SQ,*,U"
"Patient's Birth Date", "0010,0030", "DA", "S,*,U,R"
"Patient's Sex", "0010,0040", "CS", "S,*,U,M"
"Patient's Birth Time", "0010,0032", "TM", "NONE"
"Other Patient IDs Sequence", "0010,1002", "SQ", "NONE"
"Other Patient Names", "0010,1001", "PN", "NONE"
"Patient's Birth Date in Alternative Calendar", "0010,0033", "LO", "NONE"
"Patient's Death Date in Alternative Calendar", "0010,0034", "LO", "NONE"
"Patient's Alternative Calendar", "0010,0035", "CS", "NONE"
"Patient's Insurance Plan Code Sequence", "0010,0050", "SQ", "NONE"
"Patient's Primary Language Code Sequence", "0010,0101", "SQ", "NONE"
"Quality Control Subject", "0010,0200", "CS", "NONE"
"Strain Description", "0010,0212", "UC", "NONE"
"Strain Nomenclature", "0010,0213", "LO", "NONE"
"Strain Stock Sequence", "0010,0216", "SQ", "NONE"
"Strain Additional Information", "0010,0218", "UT", "NONE"
"Strain Code Sequence", "0010,0219", "SQ", "NONE"
"Genetic Modifications Code Sequence", "0010,0229", "SQ", "NONE"
"Patient's Birth Name", "0010,1005", "PN", "NONE"
"Patient's Address", "0010,1040", "LO", "NONE"
"Patient's Mother's Birth Name", "0010,1060", "PN", "NONE"
"Military Rank", "0010,1080", "LO", "NONE"
"Branch of Service", "0010,1081", "LO", "NONE"
"Medical Record Locator (retired)", "0010,1090", "LO", "NONE"
"Country of Residence", "0010,2150", "LO", "NONE"
"Region of Residence", "0010,2152", "LO", "NONE"
"Patient's Telephone Numbers", "0010,2154", "SH", "NONE"
"Patient's Telecom Information", "0010,2155", "LT", "NONE"
"Ethnic Group", "0010,2160", "SH", "NONE"
"Patient's Religious Preference", "0010,21F0", "LO", "NONE"
"Patient Species Description", "0010,2201", "LO", "NONE"
"Patient Species Code Sequence", "0010,2202", "SQ", "NONE"
"Patient Breed Description", "0010,2292", "LO", "NONE"
"Patient Breed Code Sequence", "0010,2293", "SQ", "NONE"
"Breed Registration Sequence", "0010,2294", "SQ", "NONE"
"Responsible Person", "0010,2297", "PN", "NONE"
"Responsible Person Role", "0010,2298", "CS", "NONE"
"Responsible Organization", "0010,2299", "LO", "NONE"
"Patient Comments", "0010,4000", "LT", "NONE"
"Clinical Trial Sponsor Name", "0012,0010", "LO", "NONE"
"Clinical Trial Protocol ID", "0012,0020", "LO", "NONE"
"Clinical Trial Protocol Name", "0012,0021", "LO", "NONE"
"Clinical Trial Site ID", "0012,0030", "LO", "NONE"
"Clinical Trial Site Name", "0012,0031", "LO", "NONE"
"Clinical Trial Subject ID", "0012,0040", "LO", "NONE"
"Clinical Trial Subject Reading ID", "0012,0042", "LO", "NONE"
"Patient Identity Removed", "0012,0062", "CS", "NONE"
"De-identification Method", "0012,0063", "LO", "NONE"
"De-identification Method Code Sequence", "0012,0064", "SQ", "NONE"
"Clinical Trial Protocol Ethics Committee Name", "0012,0081", "LO", "NONE"
"Clinical Trial Protocol Ethics Committee Approval Number", "0012,0082", "LO", "NONE"
"Special Needs", "0038,0050", "LO", "NONE"
"Pertinent Documents Sequence", "0038,0100", "SQ", "NONE"
"Patient Clinical Trial Participation Sequence", "0038,0502", "SQ", "NONE"
"Confidentiality Constraint on Patient Data Description", "0040,3001", "LO", "NONE"
"Study Date", "0008,0020", "DA", "S,*,U,R"
"Study Time", "0008,0030", "TM", "U,R"
"Accession Number", "0008,0050", "SH", "S,*,U"
"Issuer of Accession Number Sequence", "0008,0051", "SQ", "SQ,*,U"
"Study ID", "0020,0010", "SH", "S,*,U,M"
"Study Instance UID", "0020,000D", "SH", "S,U,L"
"Referring Physician's Name", "0008,0090", "PN", "S,*,U"
"Study Description", "0008,1030", "LO", "S,*,U,M"
"Modalities in Study", "0008,0061", "CS", "S,*,U,M"
"Procedure Code Sequence", "0008,1032", "SQ", "SQ,*,U"
"Admission ID", "0038,0010", "LO", "S,*,U"
"Issuer of Admission ID Sequence", "0038,0014", "SQ", "SQ,*,U"
"Physician(s) of Record", "0008,1048", "PN", "NONE"
"Patient's Age", "0010,1010", "AS", "NONE"
"Patient's Size", "0010,1020", "DS", "NONE"
"Patient's Size Code Sequence", "0010,1021", "SQ", "NONE"
"Patient's Weight", "0010,1030", "DS", "NONE"
"Patient's Body Mass Index", "0010,1022", "DS", "NONE"
"Measured AP Dimension", "0010,1023", "DS", "NONE"
"Measured Lateral Dimension", "0010,1024", "DS", "NONE"
"Medical Alerts", "0010,2000", "LO", "NONE"
"Allergies", "0010,2110", "LO", "NONE"
"Smoking Status", "0010,21A0", "CS", "NONE"
"Pregnancy Status", "0010,21C0", "US", "NONE"
"Last Menstrual Date", "0010,21D0", "DA", "NONE"
"Patient State", "0038,0500", "LO", "NONE"
"Admitting Diagnoses Description", "0008,1080", "LO", "NONE"
"Admitting Diagnoses Code Sequence", "0008,1084", "SQ", "NONE"
"Route of Admissions", "0038,0016", "LO", "NONE"
"Reason for Visit", "0032,1066", "UT", "NONE"
"Reason for Visit Code Sequence", "0032,1067", "SQ", "NONE"
"Occupation", "0010,2180", "SH", "NONE"
"Additional Patient History", "0010,21B0", "LT", "NONE"
"Service Episode ID", "0038,0060", "LO", "NONE"
"Service Episode Description", "0038,0062", "LO", "NONE"
"Issuer of Service Episode ID Sequence", "0038,0064", "SQ", "NONE"
"Patient's Sex Neutered", "0010,2203", "CS", "NONE"
"Series Level"
"Modality", "0008,0060", "CS", "S,*,U,M"
"SeriesNumber", "0020,0011", "IS", "S,*,U"
"SeriesInstanceUID", "0020,000E", "UI", "S,*,U,L"
"Operator's Name", "0008,1070", "PN", "NONE"
"Body Part Examined", "0018,0015", "CS", "S,*,U,M"
"Laterality", "0020,0060", "CS", "S,*,U,M"
"Performed Procedure Step Start Date", "0040,0244", "DA", "S,*,U,R"
"Performed Procedure Step Start Time", "0040,0245", "TM", "S,*,U,R"
"Performing Physician Name", "0008, 1050", "PN", ""
"Series Description", "0008,103E", "LO", "S,*,U,M"
"Station Name", "0008,1010", "SH", "S,*,U,M"
"Institutional Department Name", "0008,1040", "LO", "S,*,U,M"
"Institution Name", "0008,0080", "LO", "S,*,U,M"
"Institutional Department Type Code Sequence", "0008,1041", "SQ", "SQ,*,U"
"Institution Code Sequence", "0008,0082", "SQ", "SQ,*,U"
"Request Attributes Sequence", "0040,0275", "SQ", "SQ,U"
"Series Date", "0008,0021", "DA", "NONE"
"Series Time", "0008,0031", "TM", "NONE"
"Manufacturer", "0008,0070", "LO", "NONE"
"Institution Address", "0008,0081", "ST", "NONE"
"Manufacturer's Model Name", "0008,1090", "LO", "NONE"
"Referenced Performed Procedure Step Sequence", "0008,1111", "SQ", "NONE"
"Anatomic Region Sequence", "0008,2218", "SQ", "NONE"
"Performed Procedure Step End Date", "0040,0250", "DA", "NONE"
"Performed Procedure Step End Time", "0040,0251", "TM", "NONE"
"Performed Protocol Code Sequence", "0040,0260", "SQ", "NONE"
"Series Description Code Sequence", "0008,103F", "SQ", "NONE"
"Image Level"
"Instance Number", "0020,0013", "IS", "S,*,U"
"SOP Class UID", "0008,0016", "UI", "S,*,U,L"
"SOP Instance UID", "0008,0018", "UI", "S,*,U,L"
"Content Date", "0008,0023", "DA", "S,*,U,R"
"Content Time", "0008,0033", "TM", "S,*,U,R"
"Completion Flag", "0040,A491", "UI", "S,*,U,M"
"Verification Flag", "0040,A493", "UI", "S,*,U,M"
"Concept Name Code Sequence", "0040,A043", "SQ", "SQ,*,U"
"Verifying Observer Sequence", "0040,A073", "SQ", "SQ,*,U"
"Referenced Request Sequence", "0040,A370", "SQ", "SQ,*,U"
"Image Type", "0008,0008", "CS", "NONE"
"Instance Creation Date", "0008,0012", "DA", "NONE"
"Instance Creation Time", "0008,0012", "TM", "NONE"
"Referenced Series Sequence", "0008,1115", "SQ", "NONE"
"Anatomic Region Sequence", "0008,2218", "SQ", "NONE"
"Number Of Frames", "0028,0008", "IS", "NONE"
"Rows", "0028,0010", "US", "NONE"
"Columns", "0028,0011", "US", "NONE"
"Bits Allocated", "0028,0100", "US", "NONE"
"Observation DateTime", "0040,A032", "DT", "NONE"
"Content Template Sequence", "0040,A504", "SQ", "NONE"
"Document Title", "0042,0010", "ST", "NONE"
"MIME Type of Encapsulated Document", "0042,0012", "LO", "NONE"
"Content Label", "0070,0080", "CS", "NONE"
"Content Description", "0070,0081", "LO", "NONE"
"Presentation Creation Date", "0070,0082", "DA", "NONE"
"Presentation Creation Time", "0070,0083", "TM", "NONE"
"Content Creator's Name", "0070,0084", "PN", "NONE"
"Identical Documents Sequence", "0040,A525", "SQ", "NONE"
"Current Requested Procedure Evidence Sequence", "0040,A375", "SQ", "NONE"
"Concatenation UID", "0020,9161", "UI", "NONE"
"SOP Instance UID of Concatenation Source", "0020,0242", "UI", "NONE"
"Container Identifier", "0040,0512", "CS", "NONE"
"Alternate Container Identifier Sequence", "0040,0515", "SQ", "NONE"
"Issuer of the Container Identifier Sequence", "0040,0513", "SQ", "NONE"
"Specimen UID", "0040,0554", "UI", "NONE"
"Specimen Identifier", "0040,0551", "LO", "NONE"
"Issuer of the Specimen Identifier Sequence", "0040,0562", "SQ", "NONE"
"Image Laterality", "0020,0062", "CS", "NONE"
"Primary Anatomic Structure Sequence", "0008,2228", "SQ", "NONE"
"Segment Sequence", "0062,0002", "SQ", "NONE"
"Quantity Definition Sequence", "0040,9220", "SQ", "NONE"
