"SOP Common"
"Specific Character Set", "0008,0005", "CS", "NONE"
"Timezone Offset From UTC", "0008,0201", "SH", "NONE"
"Patient Level"
"Patient's Name", "0010,0010", "PN", "S,*,U"
"Patient ID", "0010,0020", "LO", "S,*,U"
"Issuer of Patient ID", "0010,0021", "LO", "S,*,U"
"Issuer of Patient ID Sequence", "0010,0024", "SQ", "SQ,*,U"
"Patient's Birth Date", "0010,0030", "DA", "S,*,U,R"
"Patient's Sex", "0010,0040", "CS", "S,*,U,M"
"Patient's Birth Time", "0010,0032", "TM", "NONE"
"Other Patient IDs Sequence", "0010,1002", "SQ", "NONE"
"Other Patient Names", "0010,1001", "PN", "NONE"
"Patient's Birth Date in Alternative Calendar", "0010,0033", "LO", "NONE"
"Patient's Death Date in Alternative Calendar", "0010,0034", "LO", "NONE"
"Patient's Alternative Calendar", "0010,0035", "CS", "NONE"
"Patient's Insurance Plan Code Sequence", "0010,0050", "SQ", "NONE"
"Patient's Primary Language Code Sequence", "0010,0101", "SQ", "NONE"
"Quality Control Subject", "0010,0200", "CS", "NONE"
"Strain Description", "0010,0212", "UC", "NONE"
"Strain Nomenclature", "0010,0213", "LO", "NONE"
"Strain Stock Sequence", "0010,0216", "SQ", "NONE"
"Strain Additional Information", "0010,0218", "UT", "NONE"
"Strain Code Sequence", "0010,0219", "SQ", "NONE"
"Genetic Modifications Code Sequence", "0010,0229", "SQ", "NONE"
"Patient's Birth Name", "0010,1005", "PN", "NONE"
"Patient's Address", "0010,1040", "LO", "NONE"
"Patient's Mother's Birth Name", "0010,1060", "PN", "NONE"
"Military Rank", "0010,1080", "LO", "NONE"
"Branch of Service", "0010,1081", "LO", "NONE"
"Medical Record Locator (retired)", "0010,1090", "LO", "NONE"
"Country of Residence", "0010,2150", "LO", "NONE"
"Region of Residence", "0010,2152", "LO", "NONE"
"Patient's Telephone Numbers", "0010,2154", "SH", "NONE"
"Patient's Telecom Information", "0010,2155", "LT", "NONE"
"Ethnic Group", "0010,2160", "SH", "NONE"
"Patient's Religious Preference", "0010,21F0", "LO", "NONE"
"Patient Species Description", "0010,2201", "LO", "NONE"
"Patient Species Code Sequence", "0010,2202", "SQ", "NONE"
"Patient Breed Description", "0010,2292", "LO", "NONE"
"Patient Breed Code Sequence", "0010,2293", "SQ", "NONE"
"Breed Registration Sequence", "0010,2294", "SQ", "NONE"
"Responsible Person", "0010,2297", "PN", "NONE"
"Responsible Person Role", "0010,2298", "CS", "NONE"
"Responsible Organization", "0010,2299", "LO", "NONE"
"Patient Comments", "0010,4000", "LT", "NONE"
"Clinical Trial Sponsor Name", "0012,0010", "LO", "NONE"
"Clinical Trial Protocol ID", "0012,0020", "LO", "NONE"
"Clinical Trial Protocol Name", "0012,0021", "LO", "NONE"
"Clinical Trial Site ID", "0012,0030", "LO", "NONE"
"Clinical Trial Site Name", "0012,0031", "LO", "NONE"
"Clinical Trial Subject ID", "0012,0040", "LO", "NONE"
"Clinical Trial Subject Reading ID", "0012,0042", "LO", "NONE"
"Patient Identity Removed", "0012,0062", "CS", "NONE"
"De-identification Method", "0012,0063", "LO", "NONE"
"De-identification Method Code Sequence", "0012,0064", "SQ", "NONE"
"Clinical Trial Protocol Ethics Committee Name", "0012,0081", "LO", "NONE"
"Clinical Trial Protocol Ethics Committee Approval Number", "0012,0082", "LO", "NONE"
"Special Needs", "0038,0050", "LO", "NONE"
"Pertinent Documents Sequence", "0038,0100", "SQ", "NONE"
"Patient Clinical Trial Participation Sequence", "0038,0502", "SQ", "NONE"
"Confidentiality Constraint on Patient Data Description", "0040,3001", "LO", "NONE"
"UPS Level"
"SOP Instance UID", "0008,0018", "UI", "S,*,U,L"
"Scheduled Procedure Step Priority", "0074,1200", "CS", "S,*,U,M"
"Scheduled Procedure Step Modification DateTime", "0040,4010", "DT", "S,*,U,R"
"Procedure Step Label", "0074,1204", "LO", "S,*,U,M"
"Worklist Label", "0074,1202", "LO", "S,*,U,M"
"Scheduled Station Name Code Sequence", "0040,4025", "SQ", "SQ,*,U"
"Scheduled Station Class Code Sequence", "0040,4026", "SQ", "SQ,*,U"
"Scheduled Station Geographic Location Code Sequence", "0040,4027", "SQ", "SQ,*,U"
"Scheduled Human Performers Sequence", "0040,4034", "SQ", "SQ,*,U"
"Scheduled Procedure Step Start DateTime", "0040,4005", "DT", "S,*,U,R"
"Expected Completion DateTime", "0040,4011", "DT", "S,*,U,R"
"Scheduled Procedure Step Expiration DateTime", "0040,4008", "DT", "S,*,U,R"
"Scheduled Workitem Code Sequence", "0040,4018", "SQ", "SQ,*,U"
"Input Readiness State", "0040,4041", "CS", "S,*,U,M"
"Admission ID", "0038,0010", "LO", "S,*,U"
"Issuer of Admission ID Sequence", "0038,0014", "SQ", "SQ,*,U"
"Referenced Request Sequence", "0040,A370", "SQ", "SQ,*,U"
"Procedure Step State", "0074,1000", "CS", "S,*,U,M"
"SOP Class UID", "0008,0016", "UI", "NONE"
"Institution Name", "0008,0080", "LO", "NONE"
"Institution Address", "0008,0081", "ST", "NONE"
"Institution Code Sequence", "0008,0082", "SQ", "SQ,*,U"
"Referring Physician's Name", "0008,0090", "PN", "NONE"
"Referring Physician's Address", "0008,0092", "ST", "NONE"
"Referring Physician's Telephone Numbers", "0008,0094", "SH", "NONE"
"Referring Physician Identification Sequence", "0008,0096", "SQ", "NONE"
"Consulting Physician's Name", "0008,009C", "PN", "NONE"
"Consulting Physician Identification Sequence", "0008,009D", "SQ", "NONE"
"Institutional Department Name", "0008,1040", "LO", "NONE"
"Institutional Department Type Code Sequence", "0008,1041", "SQ", "NONE"
"Admitting Diagnoses Description", "0008,1080", "LO", "NONE"
"Admitting Diagnoses Code Sequence", "0008,1084", "SQ", "NONE"
"Patient's Age", "0010,1010", "AS", "NONE"
"Patient's Size", "0010,1020", "DS", "NONE"
"Patient's Size Code Sequence", "0010,1021", "SQ", "NONE"
"Measured AP Dimension", "0010,1023", "DS", "NONE"
"Measured Lateral Dimension", "0010,1024", "DS", "NONE"
"Patient's Weight", "0010,1030", "DS", "NONE"
"Occupation", "0010,2180", "SH", "NONE"
"Additional Patient History", "0010,21B0", "LT", "NONE"
"Patient's Sex Neutered", "0010,2203", "CS", "NONE"
"Medical Alerts", "0010,2000", "LO", "NONE"
"Allergies", "0010,2110", "LO", "NONE"
"Smoking Status", "0010,21A0", "CS", "NONE"
"Pregnancy Status", "0010,21C0", "US", "NONE"
"Last Menstrual Date", "0010,21D0", "DA", "NONE"
"Study Instance UID", "0020,000D", "SH", "NONE"
"Reason for Visit", "0032,1066", "UT", "NONE"
"Reason for Visit Code Sequence", "0032,1067", "SQ", "NONE"
"Pertinent Resources Sequence", "0038,0101", "SQ", "NONE"
"Patient State", "0038,0500", "LO", "NONE"
"Visit Status ID", "0038,0008", "CS", "NONE"
"Route of Admissions", "0038,0016", "LO", "NONE"
"Admitting Date", "0038,0020", "DA", "NONE"
"Admitting Time", "0038,0021", "TM", "NONE"
"Service Episode ID", "0038,0060", "LO", "NONE"
"Service Episode Description", "0038,0062", "LO", "NONE"
"Issuer of Service Episode ID Sequence", "0038,0064", "SQ", "NONE"
"Current Patient Location", "0038,0300", "LO", "NONE"
"Patient's Institution Residence", "0038,0400", "LO", "NONE"
"Visit Comments", "0038,4000", "LT", "NONE"
"Output Destination Sequence", "0040,4070", "SQ", "NONE"
"Procedure Step Progress Information Sequence", "0074,1002", "SQ", "NONE"
"Scheduled Processing Parameters Sequence", "0074,1210", "SQ", "NONE"
"Unified Procedure Step Performed Procedure Sequence", "0074,1216", "SQ", "NONE"
"Replaced Procedure Step Sequence", "0074,1224", "SQ", "NONE"
