"Verification SOP Class", "1.2.840.10008.1.1", "Yes", "Yes"
"Patient Root Query/Retrieve Information Model - FIND", "1.2.840.10008.5.1.4.1.2.1.1", "No", "Yes"
"Patient Root Query/Retrieve Information Model - MOVE", "1.2.840.10008.5.1.4.1.2.1.2", "No", "Yes"
"Patient Root Query/Retrieve Information Model - GET", "1.2.840.10008.5.1.4.1.2.1.3", "No", "Yes"
"Study Root Query/Retrieve Information Model - FIND", "1.2.840.10008.5.1.4.1.2.2.1", "Yes", "Yes"
"Study Root Query/Retrieve Information Model - MOVE", "1.2.840.10008.5.1.4.1.2.2.2", "Yes", "Yes"
"Study Root Query/Retrieve Information Model - GET", "1.2.840.10008.5.1.4.1.2.2.3", "No", "Yes"
"**Image Storage SOP Classes:**",,,
"Computed Radiography Image Storage", "1.2.840.10008.5.1.4.1.1.1", "Yes", "No"
"Digital X-Ray Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.1.1", "Yes", "No"
"Digital X-Ray Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.1.1.1", "Yes", "No"
"Digital Mammography X-Ray Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.1.2", "Yes", "No"
"Digital Mammography X-Ray Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.1.2.1", "Yes", "No"
"Digital Intra-Oral X-Ray Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.1.3", "Yes", "No"
"Digital Intra-Oral X-Ray Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.1.3.1", "Yes", "No"
"CT Image Storage", "1.2.840.10008.5.1.4.1.1.2", "Yes", "No"
"Enhanced CT Image Storage", "1.2.840.10008.5.1.4.1.1.2.1", "Yes", "No"
"Legacy Converted Enhanced CT Image Storage", "1.2.840.10008.5.1.4.1.1.2.2", "Yes", "No"
"Ultrasound Multi-frame Image Storage (Retired)", "1.2.840.10008.5.1.4.1.1.3", "Yes", "No"
"Ultrasound Multi-frame Image Storage", "1.2.840.10008.5.1.4.1.1.3.1", "Yes", "No"
"MR Image Storage", "1.2.840.10008.5.1.4.1.1.4", "Yes", "No"
"Enhanced MR Image Storage", "1.2.840.10008.5.1.4.1.1.4.1", "Yes", "No"
"Enhanced MR Color Image Storage", "1.2.840.10008.5.1.4.1.1.4.3", "Yes", "No"
"Legacy Converted Enhanced MR Image Storage", "1.2.840.10008.5.1.4.1.1.4.4", "Yes", "No"
"Nuclear Medicine Image Storage (Retired)", "1.2.840.10008.5.1.4.1.1.5", "Yes", "No"
"Ultrasound Image Storage (Retired)", "1.2.840.10008.5.1.4.1.1.6", "Yes", "No"
"Ultrasound Image Storage", "1.2.840.10008.5.1.4.1.1.6.1", "Yes", "No"
"Enhanced US Volume Storage", "1.2.840.10008.5.1.4.1.1.6.2", "Yes", "No"
"Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7", "Yes", "No"
"Multi-frame Grayscale Byte Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7.2", "Yes", "No"
"Multi-frame Grayscale Word Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7.3", "Yes", "No"
"Multi-frame True Color Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7.4", "Yes", "No"
