"Image", "DICOM Implicit VR Little Endian", "1.2.840.10008.1.2", "SCP", "None"
"", "DICOM Explicit VR Little Endian", "1.2.840.10008.1.2.1", "SCP", "None"
"", "DICOM Explicit JPEGBaseline1", "1.2.840.10008.1.2.4.50", "SCP", "None"
"", "DICOM Explicit JPEGExtended24", "1.2.840.10008.1.2.4.51", "SCP", "None"
"", "DICOM Explicit JPEGLossless", "1.2.840.10008.1.2.4.70", "SCP", "None"
"", "DICOM Explicit JPEGLosslessNonHierarchical14", "1.2.840.10008.1.2.4.57", "SCP", "None"
"", "DICOM Explicit JPEGLSLossless", "1.2.840.10008.1.2.4.80", "SCP", "None"
"", "DICOM Explicit JPEGLSLossyNearLossless", "1.2.840.10008.1.2.4.81", "SCP", "None"
"", "DICOM Explicit JPEG2000LosslessOnly", "1.2.840.10008.1.2.4.90", "SCP", "None"
"", "DICOM Explicit JPEG2000", "1.2.840.10008.1.2.4.91", "SCP", "None"
"", "DICOM Explicit RLELossless", "1.2.840.10008.1.2.5", "SCP", "None"
"Video", "DICOM Explicit JPEGBaseline1", "1.2.840.10008.1.2.4.50", "SCP", "None"
"", "DICOM Explicit MPEG2", "1.2.840.10008.1.2.4.100", "SCP", "None"
"", "DICOM Explicit MPEG2MainProfileHighLevel", "1.2.840.10008.1.2.4.101", "SCP", "None"
"", "DICOM Explicit MPEG4AVCH264BDCompatibleHighProfileLevel41", "1.2.840.10008.1.2.4.103", "SCP", "None"
"", "DICOM Explicit MPEG4AVCH264HighProfileLevel41", "1.2.840.10008.1.2.4.102", "SCP", "None"
"Structured Reports", "DICOM Implicit VR Little Endian", "1.2.840.10008.1.2", "SCP", "None"
"", "DICOM Explicit VR Little Endian", "1.2.840.10008.1.2.1", "SCP", "None"
"", "DICOM Explicit DeflatedExplicitVRLittleEndian", "1.2.840.10008.1.2.1", "SCP", "None"
"Other", "DICOM Implicit VR Little Endian", "1.2.840.10008.1.2", "SCP", "None"
"",  "DICOM Explicit VR Little Endian", "1.2.840.10008.1.2.1", "SCP", "None"
