"Verification SOP Class", "1.2.840.10008.1.1", "Yes", "Yes"
"Storage Commitment Push Model SOP Class", "1.2.840.10008.1.20.1", "No", "Yes"
"**Image Storage SOP Classes:**",,,
"Computed Radiography Image Storage", "1.2.840.10008.5.1.4.1.1.1", "No", "Yes"
"Digital X-Ray Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.1.1", "No", "Yes"
"Digital X-Ray Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.1.1.1", "No", "Yes"
"Digital Mammography X-Ray Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.1.2", "No", "Yes"
"Digital Mammography X-Ray Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.1.2.1", "No", "Yes"
"Digital Intra-Oral X-Ray Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.1.3", "No", "Yes"
"Digital Intra-Oral X-Ray Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.1.3.1", "No", "Yes"
"CT Image Storage", "1.2.840.10008.5.1.4.1.1.2", "No", "Yes"
"Enhanced CT Image Storage", "1.2.840.10008.5.1.4.1.1.2.1", "No", "Yes"
"Legacy Converted Enhanced CT Image Storage", "1.2.840.10008.5.1.4.1.1.2.2", "No", "Yes"
"Ultrasound Multi-frame Image Storage (Retired)", "1.2.840.10008.5.1.4.1.1.3", "No", "Yes"
"Ultrasound Multi-frame Image Storage", "1.2.840.10008.5.1.4.1.1.3.1", "No", "Yes"
"MR Image Storage", "1.2.840.10008.5.1.4.1.1.4", "No", "Yes"
"Enhanced MR Image Storage", "1.2.840.10008.5.1.4.1.1.4.1", "No", "Yes"
"Enhanced MR Color Image Storage", "1.2.840.10008.5.1.4.1.1.4.3", "No", "Yes"
"Legacy Converted Enhanced MR Image Storage", "1.2.840.10008.5.1.4.1.1.4.4", "No", "Yes"
"Nuclear Medicine Image Storage (Retired)", "1.2.840.10008.5.1.4.1.1.5", "No", "Yes"
"Ultrasound Image Storage (Retired)", "1.2.840.10008.5.1.4.1.1.6", "No", "Yes"
"Ultrasound Image Storage", "1.2.840.10008.5.1.4.1.1.6.1", "No", "Yes"
"Enhanced US Volume Storage", "1.2.840.10008.5.1.4.1.1.6.2", "No", "Yes"
"Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7", "No", "Yes"
"Multi-frame Grayscale Byte Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7.2", "No", "Yes"
"Multi-frame Grayscale Word Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7.3", "No", "Yes"
"Multi-frame True Color Secondary Capture Image Storage", "1.2.840.10008.5.1.4.1.1.7.4", "No", "Yes"
"X-Ray Angiographic Image Storage", "1.2.840.10008.5.1.4.1.1.12.1", "No", "Yes"
"Enhanced XA Image Storage", "1.2.840.10008.5.1.4.1.1.12.1.1", "No", "Yes"
"X-Ray Radiofluoroscopic Image Storage", "1.2.840.10008.5.1.4.1.1.12.2", "No", "Yes"
"Enhanced XRF Image Storage", "1.2.840.10008.5.1.4.1.1.12.2.1", "No", "Yes"
"X-Ray Angiographic Bi-Plane Image Storage (Retired)", "1.2.840.10008.5.1.4.1.1.12.3", "No", "Yes"
"X-Ray 3D Angiographic Image Storage", "1.2.840.10008.5.1.4.1.1.13.1.1", "No", "Yes"
"X-Ray 3D Craniofacial Image Storage", "1.2.840.10008.5.1.4.1.1.13.1.2", "No", "Yes"
"Breast Tomosynthesis Image Storage", "1.2.840.10008.5.1.4.1.1.13.1.3", "No", "Yes"
"Breast Projection X-Ray Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.13.1.4", "No", "Yes"
"Breast Projection X-Ray Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.13.1.5", "No", "Yes"
"Intravascular Optical Coherence Tomography Image Storage - For Presentation", "1.2.840.10008.5.1.4.1.1.14.1", "No", "Yes"
"Intravascular Optical Coherence Tomography Image Storage - For Processing", "1.2.840.10008.5.1.4.1.1.14.2", "No", "Yes"
