"**Private Attributes**"
"Patient Create Date Time (7777,0010)"
"Patient Update Date Time (7777,0011)"
"Study Receive Date Time (7777,0020)"
"Study Update Date Time (7777,0021)"
"Study Access Date Time (7777,0022)"
"Study Expiration Date (7777,0023)"
"Study Rejection State (7777,0024)"
"Study Completeness (7777,0025)"
"Failed Retrieves Of Study (7777,0026)"
"Study Access Control ID (7777,0027)"
"Storage IDs of Study (7777,0028)"
"Study Size in KB (7777,0029)"
"Study Size Bytes (7777,002A)"
"Series Receive Date Time (7777,0030)"
"Series Update Date Time (7777,0031)"
"Series Expiration Date (7777,0033)"
"Series Rejection State (7777,0034)"
"Series Completeness (7777,0035)"
"Failed Retrieves Of Series (7777,0036)"
"Sending Application Entity Title Of Series (7777,0037)"
"Scheduled Metadata Update Date Time Of Series (7777,0038)"
"Scheduled Instance Record Purge Date Time Of Series (7777,0039)"
"Instance Record Purge State Of Series (7777,003A)"
"Series Metadata Storage ID (7777,003B)"
"Series Metadata Storage Path (7777,003C)"
"Series Metadata Storage Object Size (7777,003D)"
"Series Metadata Storage Object Digest (7777,003E)"
"Instance Receive Date Time (7777,0040)"
"Instance Update Date Time (7777,0041)"
"Rejection Code Sequence (7777,0042)"
"Instance External Retrieve AE Title (7777,0043)"
"Storage ID (7777,0050)"
"Storage Path (7777,0051)"
"Storage Transfer Syntax UID (7777,0052)"
"Storage Object Size (7777,0053)"
"Storage Object Digest (7777,0054)"
"Other Storage Sequence (7777,0055)"
"X Road Person Status (7777,00E0)"
"X Road Data Status (7777,00E1)"
"**X - Remove (missing in Part 15)**"
"Human Performer Code Sequence (0040,4009)"
"Issuer of Accession Number Sequence (0008,0051)"
"Issuer of Admission ID Sequence (0038,0014)"
"Issuer of Patient ID Qualifiers Sequence (0010,0024)"
"Patient's Size Code Sequence (0010,1021)"
"Requesting Physician Identification Sequence (0032,1031)"
"Requesting Service Code Sequence (0032,1034)"
"Series Description Code Sequence (0008,103F)"
"**X - Remove (missing in Part 15) if Retain Longitudinal Temporal Information Full Dates Option not configured**"
"Instance Creation Date (0008,0012)"
"Instance Creation Time (0008,0013)"
